Parcours_Utilisateur	Parents	Nom	Min	Moy	Max	Nombre	Errreurs	Taux_d_erreurs	Elt/s	EcartType	Moy-90%	Perc50	Perc95	Perc99
SC07_PART_AdhésionAuPrélèvementMensuelAccèsGrandPublic	PM07_000_DuréeTransaction	PM07_008_AffichageAdresseElectronique	0.036	0.08221420765027322	1.153	3660	0	0.0	1.0166666666666666	0.059498785949967034	0.07298361153262518	0.071	0.121	0.408
SC07_PART_AdhésionAuPrélèvementMensuelAccèsGrandPublic	PM07_000_DuréeTransaction	PM07_009_PageRecapitulatif	0.031	0.06943009575923392	1.086	3655	0	0.0	1.0152777777777777	0.05409192030953751	0.060951367781155015	0.059	0.099	0.363
SC07_PART_AdhésionAuPrélèvementMensuelAccèsGrandPublic	PM07_000_DuréeTransaction	PM07_010_PageConfirmation	0.066	0.1416945205479452	1.215	3650	0	0.0	1.0138888888888888	0.0758171668647735	0.12973120243531203	0.127	0.22	0.523
SC07_PART_AdhésionAuPrélèvementMensuelAccèsGrandPublic	PM07_000_DuréeTransaction	PM07_011_PageFermeture	0.054	0.10680345394736843	0.704	3648	0	0.0	1.0133333333333334	0.06148336826050643	0.09651781906792567	0.092	0.164	0.452
SC08_PART_PaiementImpôtSurRôleAccèsEspaceParticulier	Actions	PM08_000_DuréeTransaction	20.463	24.313202515647568	41.55	16708	92	0.5506344266219775	4.641111111111111	2.4418041094338454	24.360369241056503	25.894	26.568	27.2615
SC08_PART_PaiementImpôtSurRôleAccèsEspaceParticulier	PM08_000_DuréeTransaction	PM08_000a_CfsPart	0.071	0.10005504696231127	2.085	16822	0	0.0	4.672777777777778	0.06683841106432689	0.09559634057731686	0.095	0.114	0.125
SC08_PART_PaiementImpôtSurRôleAccèsEspaceParticulier	PM08_000_DuréeTransaction	PM08_000b_Spi	0.228	0.2725154381581296	1.84	16809	0	0.0	4.6691666666666665	0.06293437184940788	0.2686454918032787	0.269	0.295	0.312
SC08_PART_PaiementImpôtSurRôleAccèsEspaceParticulier	PM08_000_DuréeTransaction	PM08_000c_Connexion	0.397	0.5505241215008935	1.667	16795	5	0.029770765108663295	4.665277777777778	0.06688922273190828	0.5466164383561644	0.545	0.607	0.643
SC08_PART_PaiementImpôtSurRôleAccèsEspaceParticulier	PM08_000_DuréeTransaction	PM08_000d_DoubleAuthentification	0.517	3.9473830461832975	21.291	16775	59	0.35171385991058124	4.659722222222222	2.411062882406996	4.011803057494184	5.683	5.848	6.0615
SC08_PART_PaiementImpôtSurRôleAccèsEspaceParticulier	PM08_000_DuréeTransaction	PM08_001_PayerEnLigne	0.252	0.3712047564847541	1.899	16704	11	0.06585249042145594	4.64	0.11767029532288305	0.35312000798722043	0.341	0.615	0.846
SC08_PART_PaiementImpôtSurRôleAccèsEspaceParticulier	PM08_000_DuréeTransaction	PM08_002_AffichageEcranSaisie	0.139	0.27283867098476666	2.424	16679	5	0.02997781641585227	4.633055555555556	0.11496449133093223	0.2566110481775171	0.244	0.495	0.714
SC08_PART_PaiementImpôtSurRôleAccèsEspaceParticulier	PM08_000_DuréeTransaction	PM08_003_SaisieCb	0.07	0.13808351344860711	1.97	16662	6	0.036010082823190494	4.628333333333333	0.08433056391793811	0.12500893869655127	0.117	0.246	0.517
SC08_PART_PaiementImpôtSurRôleAccèsEspaceParticulier	PM08_000_DuréeTransaction	PM08_004_AffichageEcranSaisieAvecCb	0.104	0.20177899290950607	1.457	16646	4	0.024029796948215786	4.623888888888889	0.08850830033112317	0.18868384856780399	0.182	0.324	0.602
SC08_PART_PaiementImpôtSurRôleAccèsEspaceParticulier	PM08_000_DuréeTransaction	PM08_005_AffichageEcranValidation	0.095	0.1940203247143716	1.788	16630	0	0.0	4.6194444444444445	0.09121758052176612	0.1804370949422062	0.173	0.328	0.596
SC08_PART_PaiementImpôtSurRôleAccèsEspaceParticulier	PM08_000_DuréeTransaction	PM08_006_AffichageEcranRécapitulatif	0.121	0.24773561627347135	1.676	16618	2	0.012035142616440005	4.6161111111111115	0.08862255085853649	0.23582748244734203	0.229	0.376	0.649
SC10_OS_ConsultationEtatFacture	Actions	PM10_000_DuréeTransaction	0.004	0.013060556621880999	1.058	10420	0	0.0	2.8944444444444444	0.02023362824600961	0.011254717986992218	0.01	0.03	0.059
SC10_OS_ConsultationEtatFacture	PM10_000_DuréeTransaction	PM10_001_recupererFacturesParNumeroFacture	0.004	0.013060556621880999	1.058	10420	0	0.0	2.8944444444444444	0.02023362824600961	0.011254717986992218	0.01	0.03	0.059
SC11_OS_EnvoiPaiementsEdi	Actions	PM11_000_DuréeTransaction	0.005	0.026270744578775665	1.331	104220	0	0.0	28.95	0.025153356847578558	0.02434705060821544	0.023	0.044	0.074
SC11_OS_EnvoiPaiementsEdi	PM11_000_DuréeTransaction	PM11_001_enregistrerPaiementsTVAEDI	0.005	0.026270744578775665	1.331	104220	0	0.0	28.95	0.025153356847578558	0.02434705060821544	0.023	0.044	0.074
SC12_API recupererListeFacturesPayeesAuth	Actions	PM12_000_Duree_Transaction	0.064	0.0755408377486754	1.16	10003	0	0.0	2.778611111111111	0.023810945267986647	0.07361575205509886	0.072	0.094	0.123
SC12_API recupererListeFacturesPayeesAuth	PM12_000_Duree_Transaction	PM12_001	0.064	0.0755408377486754	1.16	10003	0	0.0	2.778611111111111	0.023810945267986647	0.07361575205509886	0.072	0.094	0.123
SC13_API recupererListeFacturesAPayeesAuth	Actions	PM13_000_Duree_transaction	0.065	0.08675155950095968	1.155	16674	2	0.011994722322178242	4.631666666666667	0.02799575199358061	0.08475101632789071	0.083	0.113	0.138
SC13_API recupererListeFacturesAPayeesAuth	PM13_000_Duree_transaction	PM13_001	0.065	0.08675155950095968	1.155	16674	2	0.011994722322178242	4.631666666666667	0.02799575199358061	0.08475101632789071	0.083	0.113	0.138
SC14_API recupererNombreFacturesAPayerAuth	Actions	PM14_000_Duree_Transaction	0.064	0.07833541412380121	1.169	28678	3	0.01046098054257619	7.966111111111111	0.024319047900310843	0.07642246590204588	0.075	0.096	0.126
